id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1273248,2025-01-03,000001,Vente,228000,26,,RUE CLAIRAUT,2063,75017,75117,Paris 17e Arrondissement,75,,,75117000CS0081,,,16,22.05,,,,,,,,,1,2,Appartement,22,2,,,,,,2.31976,48.888476
2025-1273262,2025-01-07,000001,Vente,220000,68,,RUE RENNEQUIN,8149,75017,75117,Paris 17e Arrondissement,75,,,75117000BF0070,,,51,,60,28.04,,,,,,,2,3,Dépendance,,0,,,,,,2.294824,48.884357
2025-1273262,2025-01-07,000001,Vente,220000,68,,RUE RENNEQUIN,8149,75017,75117,Paris 17e Arrondissement,75,,,75117000BF0070,,,51,,60,28.04,,,,,,,2,2,Appartement,26,1,,,,,,2.294824,48.884357
2025-1273264,2025-01-06,000001,Vente,435000,14,,RUE GUSTAVE CHARPENTIER,4403,75017,75117,Paris 17e Arrondissement,75,,,75117000AB0003,,,227,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.280998,48.881305
2025-1273264,2025-01-06,000001,Vente,435000,14,,RUE GUSTAVE CHARPENTIER,4403,75017,75117,Paris 17e Arrondissement,75,,,75117000AB0003,,,143,,604,74,,,,,,,2,2,Appartement,74,3,,,,,,2.280998,48.881305
2025-1273264,2025-01-06,000001,Vente,435000,14,,RUE GUSTAVE CHARPENTIER,4403,75017,75117,Paris 17e Arrondissement,75,,,75117000AB0003,,,143,,604,74,,,,,,,2,3,Dépendance,,0,,,,,,2.280998,48.881305
2025-1273271,2025-01-03,000001,Vente,289800,13,,RUE GUILLAUME TELL,4392,75017,75117,Paris 17e Arrondissement,75,,,75117000AX0105,,,13,27.06,3,,,,,,,,2,3,Dépendance,,0,,,,,,2.293813,48.88433
2025-1273271,2025-01-03,000001,Vente,289800,13,,RUE GUILLAUME TELL,4392,75017,75117,Paris 17e Arrondissement,75,,,75117000AX0105,,,13,27.06,3,,,,,,,,2,2,Appartement,28,1,,,,,,2.293813,48.88433
2025-1273277,2025-01-09,000001,Vente,840000,13,,SQ GABRIEL FAURE,3899,75017,75117,Paris 17e Arrondissement,75,,,75117000CH0028,,,63,81.38,90,,,,,,,,2,2,Appartement,90,4,,,,,,2.313017,48.885276
2025-1273277,2025-01-09,000001,Vente,840000,13,,SQ GABRIEL FAURE,3899,75017,75117,Paris 17e Arrondissement,75,,,75117000CH0028,,,63,81.38,90,,,,,,,,2,3,Dépendance,,0,,,,,,2.313017,48.885276
